o_p_q_r_s_t_u_v_w_x_y_z_{_|_}_~_
ARD_FACE_C@|p2
rj_WNE@<;<?DNXbo|
ti_TJA90,)$(+2;EPZco|
sndZ________________________________________________bo|
yromffa_WMLLLLLLLLLLLLLLLLLLLLLLLLLLP[eo|
yl_SFBFPW^elr|
yl_S?DFOMVbo|~}||{{{{{{{{{{{{{{{{{{{{{{{{~
ti_SG?3:AFQY`jo|
rj_SSVU\`bmr|
Summon_77951_LongDesc2|<Title:【SSR物品】>
Summon_77955_LongDesc2|<Title:【SSR物品】>
Summon_77954_LongDesc2|<Title:【SSR物品】>
Summon_130361_LongDesc2|<Title:【SSR物品】>
Summon_77967_LongDesc2|<Title:【SSR物品】>
Summon_35610_LongDesc2|<Title:【SSR物品】>
Summon_35609_LongDesc2|<Title:【SSR物品】>
lpha_pp3|e
lpha_pp9|e
lpha_pp-|e
lpha_p0@|e
NUNITY_XBOXONE || UNITY_GAMECORE_XBOXONE
A_Whs|
vA_APARh}|n
Summon_14143_LongDesc1|【<SummonOrange:顿悟之海>】限时命轮活动唤醒已开启。活动期间，守密人可从中唤醒限时活动UP命轮<SummonOrange:至为珍贵的藏品>。
LanguageConfig_BonusRuleContent_DaffodilActivity_CN|1、守密人拥有特定唤醒体或命轮（不要求上阵）可以使「魔女小店」关卡任务报酬中的「苍白野兽头骨」、「幽影野兽头骨」、「殷红野兽头骨」获得额外的掉落加成（包括重现），具体加成如下：
LanguageConfig_DiamondDonateTipContent_CN|<Title:捐献规则>
LanguageConfig_BonusRuleContent_KathiguRaActivity_CN|1、守密人拥有特定唤醒体或命轮（不要求上阵）可以使「烬灭追猎」关卡任务报酬中的「财富之「印」」、「死亡之「印」」、「战争之「印」」获得额外的掉落加成，具体加成如下：
LanguageConfig_AwakerFavorability_Description_Detail_CN|<Title:【同调率获取】>
LanguageConfig_SchoolTowerRuleTxt_CN|<Title:无光之境>
LanguageConfig_BonusRuleContent_MagicStoryActivity_CN|1、守密人拥有特定唤醒体或命轮（不要求上阵）可以使「剧本迷思」关卡任务报酬中的「飘零的灵感」获得额外的掉落加成（包括重现），具体加成如下：
AwakerTalent_74130_TalentDesc_6|·该天赋仅在「星辰篇」关卡中生效。
AwakerTalent_74130_TalentDesc_7|·该天赋仅在「星辰篇」关卡中生效。
AwakerTalent_74130_TalentDesc_8|·该天赋仅在「星辰篇」关卡中生效。
AwakerTalent_74130_TalentDesc_9|·该天赋仅在「星辰篇」关卡中生效。
AwakerTalent_74130_TalentDesc_10|·该天赋仅在「星辰篇」关卡中生效。
LanguageConfig_Monster_BZLLZ_1_CN|猎颅者正在狩猎一名唤醒体，他的行动会强化猎颅者！
LanguageConfig_Card_Select_Get_Tipslamengna_CN|选择 1 张牌加入手中，其余卡牌置入弃牌堆。
LanguageConfig_Card_Select_Copy_Tips1_Ruins_CN|选择 1 张牌降低算力消耗并获得共鸣效果
LanguageConfig_Formation_SelectRole_Recommend_String2_CN|点击左侧唤醒体头像进行选择
